Depth (cm)	EM3
358.25	0.0024187162
358.75	0.014907122
359.25	0.035364192
359.75	0.011079479
360.25	0.03606727
360.75	0.032024951
361.25	0.060004346
361.75	0.052659948
362.25	0.0019697902
362.75	0.090129721
363.25	0.0466871
363.75	0.10874463
364.25	0.062966736
364.75	0.011340419
365.25	0.041017936
365.75	0.04132555
366.25	0.0056977717
366.75	0.071864544
367.25	0.09691389
367.75	0.1217554
368.25	0.089911535
368.75	0.052662827
369.25	0.062685536
369.75	0.027601211
370.25	0.012961791
370.75	0.027226036
371.25	0.016901003
371.75	0.015571354
372.25	0.052430245
372.75	0.026275286
373.25	0.035230991
373.75	0.02051457
374.25	0.0038971765
374.75	0.0021353452
375.25	0.086742932
375.75	0.036270835
376.25	0.010395688
376.75	0.0021179807
377.25	0.057120099
377.75	0.054875645
378.25	0.022770084
378.75	0.0070490087
379.25	0.01105036
379.75	0.0027883311
380.25	0.017462866
380.75	0.078933842
381.25	0.033452522
381.75	0.046883232
382.25	0.035814283
382.75	0.013867378
383.25	0.00069449772
383.75	0.065967939
384.25	0.099135939
384.75	0.031016428
385.25	0.013092153
385.75	0.049247613
386.25	0.10569331
386.75	0.00067905858
387.25	0.0016698684
387.75	0.022902196
388.25	0.019388967
388.75	0.039607302
389.25	0.02630353
389.75	0.0023643152
390.25	0.023882371
390.75	0.026973365
391.25	0.0018508413
391.75	0.022658035
392.25	0.013792627
392.75	0.031727374
393.25	0.01991792
393.75	0.049366132
394.25	0.059545621
394.75	0.010800811
395.25	0.00043677444
395.75	0.018547545
396.25	0.0040179832
396.75	0.0048492265
397.25	0.070185497
397.75	0.015491031
398.25	0.0032008904
398.75	0.028352918
399.25	0.002667769
399.75	0.075339861
400.25	0.042987506
400.75	0.0013527666
401.25	0.0036945217
401.75	0.0049089648
402.25	0.0013611201
402.75	0.0028996942
403.25	0.0023164323
403.75	0.0041445562
404.25	0.0046660387
404.75	0.025313835
405.25	0.010351629
405.75	0.033172587
406.25	0.014717853
406.75	0.023295151
407.25	0.055695386
407.75	0.0030153951
408.25	0.038900178
408.75	0.0035727135
409.25	0.038990881
409.75	0.058700653
410.25	0.058953753
410.75	0.011501732
411.25	0.001327345
411.75	0.0020952396
412.25	0.02857613
412.75	0.0021748582
413.25	0.039612918
413.75	0.060912488
414.25	0.040324322
414.75	0.058401475
415.25	0.054342347
415.75	0.066561784
416.25	0.072917746
416.75	0.083732671
417.25	0.13767397
417.75	0.0039950256
418.25	0.10602026
418.75	0.087953607
419.25	0.10470654
419.75	0.10881872
420.25	0.12957092
420.75	0.16101579
421.25	0.13906169
421.75	0.12710081
422.25	0.15380654
422.75	0.11091399
423.25	0.12491248
423.75	0.12121192
424.25	0.13114887
424.75	0.099676065
425.25	0.11849206
425.75	0.12850062
426.25	0.14110761
426.75	0.083441427
427.25	0.0056909951
427.75	0.11492473
428.25	0.092226983
428.75	0.10213108
429.25	0.087290745
429.75	0.14952608
430.25	0.1589736
430.75	0.14625183
431.25	0.1451701
431.75	0.091550275
432.25	0.15875195
432.75	0.20496972
433.25	0.12655019
433.75	0.12061957
434.25	0.20870035
434.75	0.10739484
435.25	0.14179417
435.75	0.13620004
436.25	0.10666319
436.75	0.0030244399
437.25	0.099237713
437.75	0.074085018
438.25	0.056412338
438.75	0.043737723
439.25	0.084937456
439.75	0.11279644
440.25	0.12532843
440.75	0.1045719
441.25	0.073098403
441.75	0.0030645922
442.25	0.05777831
442.75	0.075057804
443.25	0.076284679
443.75	0.097492743
444.25	0.072603134
444.75	0.085491375
445.25	0.066243051
445.75	0.073387827
446.25	0.086529043
446.75	0.11057325
447.25	0.032826672
447.75	0.095749933
448.25	0.10446582
448.75	0.07722982
449.25	0.074893567
449.75	0.046018452
450.25	0.052508291
450.75	0.059732737
451.25	0.062007735
451.75	0.065046469
452.25	0.014272131
452.75	0.08657987
453.25	0.094323592
453.75	0.096950924
454.25	0.1022728
454.75	0.065956309
455.25	0.10083075
455.75	0.0037410044
456.25	0.063472425
456.75	0.14525455
457.25	0.054566483
457.75	0.084351917
458.25	0.11188713
458.75	0.055526617
459.25	0.076570053
459.75	0.10511287
460.25	0.076374405
460.75	0.11298641
461.25	0.043368589
461.75	0.074943199
462.25	0.071780713
462.75	0.057046088
463.25	0.092607548
463.75	0.090848076
464.25	0.071758876
464.75	0.060226196
465.25	0.10901128
465.75	0.061224988
466.25	0.078120158
466.75	0.071956043
467.25	0.086989451
467.75	0.11022539
468.25	0.0024450884
468.75	0.13867329
469.25	0.10444915
469.75	0.10195049
470.25	0.11439792
470.75	0.094799409
471.25	0.14256426
471.75	0.11750955
472.25	0.10561167
472.75	0.097477561
473.25	0.1169968
473.75	0.15329935
474.25	0.16861924
474.75	0.096986551
475.25	0.14104239
475.75	0.1779633
476.25	0.1169758
476.75	0.083376424
477.25	0.068004114
477.75	0.031791631
478.25	0.10798082
478.75	0.072521191
479.25	0.077367782
479.75	0.11290086
480.25	0.17714829
480.75	0.097474511
481.25	0.097940858
481.75	0.10017429
482.25	0.093989216
482.75	0.078210711
483.25	0.080745329
483.75	0.11560242
484.25	0.079355161
484.75	0.070470983
485.25	0.13914737
485.75	0.13973862
486.25	0.10555264
486.75	0.0658403
487.25	0.046326806
487.75	0.081562434
488.25	0.15960563
488.75	0.088609186
489.25	0.17503911
489.75	0.12792981
490.25	0.10489797
490.75	0.11998331
491.25	0.006805317
491.75	0.14013628
492.25	0.14423005
492.75	0.095112955
493.25	0.13876271
493.75	0.17889108
494.25	0.12113273
494.75	0.15799585
495.25	0.14847331
495.75	0.11095317
496.25	0.1271386
496.75	0.25461235
497.25	0.22081838
497.75	0.21324639
498.25	0.21622529
498.75	0.20903826
499.25	0.20369518
499.75	0.0030426357
500.25	0.21717295
500.75	0.25640273
501.25	0.22801357
501.75	0.14665451
502.25	0.25999649
502.75	0.14308336
503.25	0.2088687
503.75	0.26879501
504.25	0.24828014
504.75	0.33677311
505.25	0.30524848
505.75	0.30917519
506.25	0.34393001
506.75	0.28323769
507.25	0.36633927
507.75	0.35358099
508.25	0.32060421
508.75	0.43357793
509.25	0.42823203
509.75	0.45098423
510.25	0.43455354
510.75	0.35713347
511.25	0.40850622
511.75	0.40924343
512.25	0.42971947
512.75	0.47183959
513.25	0.41968581
513.75	0.45097732
514.25	0.44634465
514.75	0.4503013
515.25	0.51370786
515.75	0.34616046
516.25	0.41637966
516.75	0.38451981
517.25	0.50167781
517.75	0.49161018
518.25	0.22371433
518.75	0.14503648
519.25	0.46160402
519.75	0.45544093
520.25	0.49196985
520.75	0.036413972
521.25	0.0051348452
521.75	0.11265163
522.25	0.072367194
522.75	0.0065604955
