Depth_cm	EM3
196.25	0.0795126516875312
196.75	0.0194557452740408
197.25	0.068964267427365
197.75	0.0264819237476786
198.25	0.0431514194621586
198.75	0.0821432105351956
199.25	0.106481436567631
199.75	0.0408096205266799
200.25	0.0855402289064727
200.75	0.126908819861574
201.25	0.136248179713466
201.75	0.134076404119536
202.25	0.166782347891954
202.75	0.182184892529512
203.25	0.195373467195719
203.75	0.243317608844417
204.25	0.167113258552498
204.75	0.18644905259463
205.25	0.174603845716085
205.75	0.16293056500327
206.25	0.232467463106349
206.75	0.171069363002353
207.25	0.226806715104813
207.75	0.310780660383299
208.25	0.401290853773005
208.75	0.28783082045109
209.25	0.256178369961581
209.75	0.396229677029092
210.25	0.283186542678735
210.75	0.281514477222216
211.25	0.2145698953067
211.75	0.232297403610718
212.25	0.280772577358664
212.75	0.304541257661102
213.25	0.297105924278047
213.75	0.25893970343172
214.25	0.207492767223147
214.75	0.333873195747106
215.25	0.33065424289217
215.75	0.23678966059338
216.25	0.319068963270824
216.75	0.644689886396282
217.25	0.623720084540897
217.75	0.653368544483266
218.25	0.687784867579198
218.75	0.677461667085291
219.25	0.569824895200556
219.75	0.348986787357773
220.25	0.63947961930865
220.75	0.729307292889037
221.25	0.699377535557466
221.75	0.606356806128323
222.25	0.689736398665878
222.75	0.775266596169027
223.25	0.795899799194466
223.75	0.785252227959071
224.25	0.740135337927601
224.75	0.792107021251384
225.25	0.728406147480284
225.75	0.659230485335154
226.25	0.645355452485983
226.75	0.64790860389109
227.25	0.718777711563636
227.75	0.892494786704556
228.25	0.947840593454265
228.75	0.988028348714493
229.25	0.930974882210461
229.75	0.898527365656232
230.25	0.937039381698033
230.75	0.770028580281589
231.25	0.860608362774677
231.75	0.883594807005752
232.25	0.860823341872739
232.75	0.880942014041589
233.25	0.829345542049341
233.75	0.741140691954834
234.25	0.665578374584074
234.75	0.748133924082983
235.25	0.77920448348983
235.75	0.33271740162751
236.25	0.614445950866241
236.75	0.181557763647216
237.25	0.00927960413217642
237.75	0.0063694743224899
238.25	0.173788994384345
238.75	0.197078199268061
239.25	0.460617208325624
239.75	0.703550078034085
240.25	0.839959966741614
240.75	0.63615453059187
241.25	0.559443937550025
241.75	0.465341201634199
242.25	0.563375430432885
242.75	0.521515150487676
243.25	0.708280599044661
243.75	0.741550573014439
244.25	0.554070651078553
244.75	0.697671632376881
245.25	0.618707111758866
245.75	0.588705909631706
246.25	0.63739377032934
246.75	0.645400252409017
247.25	0.708585291191634
247.75	0.697412147350607
248.25	0.674294742215041
248.75	0.693524923163121
249.25	0.432216505266486
249.75	0.169274594452449
250.25	0.0760203219069466
250.75	0.0187937101148628
251.25	0.0746852578213987
251.75	0.107261098044793
252.25	0.320608163929782
252.75	0.107875645789985
253.25	0.377150216024084
253.75	0.296473954852092
254.25	0.274266255958156
254.75	0.024281412197219
255.25	0.00806445044729312
255.75	0.0660024023477273
256.25	0.0401138484359041
256.75	0.0541467800578916
257.25	0.0663215095461309
257.75	0.220994539888657
