Depth_cm	EM3
111.75	0.389522686667584
112.25	0.48031889454784
112.75	0.42563808570849
113.25	0.391429694645539
113.75	0.337904995586789
114.25	0.491251870258618
114.75	0.15015281703189
115.25	0.41685945797171
115.75	0.408155909566537
116.25	0.451285177033273
116.75	0.310416197177792
117.25	0.301529447678674
117.75	0.453824737841768
118.25	0.303819331174499
118.75	0.570107892988392
119.25	0.546518727213474
119.75	0.438324338084522
120.25	0.366128478478407
120.75	0.325299456697057
121.25	0.269957371114359
121.75	0.274431447743777
122.25	0.313401503469505
122.75	0.288929440119139
123.25	0.337287373623994
123.75	0.340015595219075
124.25	0.340600676682822
124.75	0.261413214512745
125.25	0.249098796648103
125.75	0.0232198536385295
126.25	0.364335368980803
126.75	0.011384505809272
127.25	0.207675797496725
127.75	0.177860689082367
