depth	min	max	median	mean
242	175.799999999999	244.299999999999	209.099999999999	205.6
243	176.599999999999	245.599999999999	210.2	206.599999999999
244	177.399999999999	246.9	211.299999999999	207.6
245	178.2	248.199999999999	212.4	208.599999999999
246	178.999999999999	249.5	213.5	209.6
247	179.799999999999	250.799999999997	214.6	210.599999999999
248	180.599999999999	252.099999999999	215.7	211.6
249	181.399999999999	253.4	216.799999999999	212.6
250	182.2	254.699999999999	217.899999999999	213.6
251	182.999999999999	256	219	214.599999999999
252	183.799999999999	257.299999999997	220.1	215.6
253	184.599999999999	258.599999999999	221.199999999999	216.6
254	185.399999999999	259.9	222.299999999999	217.6
255	186.199999999999	261.199999999999	223.4	218.6
256	186.999999999999	262.5	224.5	219.599999999999
257	187.799999999998	263.799999999997	225.6	220.6
258	188.599999999999	265.099999999999	226.699999999999	221.6
259	189.4	266.4	227.799999999999	222.6
260	190.199999999999	267.699999999999	228.9	223.6
